Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Reduced Estimate,US East (N. Virginia),,Amazon EC2,0,352.42,4229.04,USD,"Operating system (Linux), Quantity (4), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (t3.large)"
Reduced Estimate,US East (N. Virginia),,S3 Standard,0,354.24,4250.88,USD,S3 Standard storage (15 TB per month)
Reduced Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,
Reduced Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,1415.25,16983,USD,Number of NAT Gateways (1)
Reduced Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0,0,USD,"Number of EC2 instances (2), Number of EIPs per instance (1)"
Reduced Estimate,US East (N. Virginia),,Amazon API Gateway,0,0,0,USD,"HTTP API requests units (millions), Average size of each request (34 KB), REST API request units (millions), Cache memory size (GB) (None), WebSocket message units (thousands), Average message size (32 KB)"
Reduced Estimate,US East (N. Virginia),,Elastic Load Balancing,0,1200.85,14410.2,USD,Number of Application Load Balancers (2)
Reduced Estimate,US East (N. Virginia),,Amazon RDS for MySQL,42984,3123.2,80462.4,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 1 Year All Upfront), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (5 TB), Instance type (db.m5.12xlarge), Additional backup storage (20 TB)"
,,,,,,,,
,,,,,,,,
,Designer notes,,,,,,,
1,After Observing all services RDS is costing more,,,,,,,
2,"To reduce monthly bill, RDS has been converted to reservd instanced with payment upfront.",,,,,,,
3,"As a Social media application, and the money at stake, it is my strong belief application lasts in AWS for at least one year , if not multi year. So taken that decision",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
